Grant Name,Subject,Proposal Deadline,Maximum Funding,Industry Partner Needed?,Source URL,,,,,,,,,,,,,,,,,,,,
NSERC Alliance Advantage,Natural sciences & engineering research with non-academic partner(s),No deadline (continuous intake),"$1,000,000/year (for 1–5 years)","Partner organization required; can be private, public, or not-for-profit",https://www.nserc-crsng.gc.ca/Innovate-Innover/alliance-alliance/results-resultats_eng.asp,,,,,,,,,,,,,,,,,,,,
NSERC Alliance Society,"Natural sciences, engineering, and societal impact research",No deadline (continuous intake),"$500,000/year (for proposals submitted after Dec 1, 2025)","Partner organization required; can be private, public, or not-for-profit",https://www.nserc-crsng.gc.ca/Innovate-Innover/Alliance_society-Alliance_societe/apply-presentez_votre_demande_eng.asp,,,,,,,,,,,,,,,,,,,,
Mitacs Accelerate,Applied research internships with a partner organization,Continuous / rolling,"$15,000 per standard internship unit; $20,000 for postdoc model",Yes — partner organization contribution required,https://www.mitacs.ca/en/programs/accelerate/,,,,,,,,,,,,,,,,,,,,
Alberta Innovates Industry r&D Associates Program,Alberta tech company in-house R&D talent,Continuous,"Up to $105,000",No external industry partner required; applicant must be an Alberta company,https://albertainnovates.ca/funding/industry-rd-associates-program/,,,,,,,,,,,,,,,,,,,,
Alberta Innovates Graduate Student Scholarships,Graduate research in emerging technologies,Continuous / seasonal by university,"$31,000/year",No,https://albertainnovates.ca/funding/graduate-student-scholarships/,,,,,,,,,,,,,,,,,,,,
Genome Alberta National Genomic Applications Partnership Program (N-GAPP),Genomics commercialization and public-private R&D collaboration (national),"Final full proposal due June 18, 2026","$2,000,000",Yes — industry partner and academic researcher collaboration required,https://genomealberta.ca/funding/genomic-applications-partnership-program-gapp/,,,,,,,,,,,,,,,,,,,,
Genome Alberta Regional Genomic Applications Partnership Program (R-GAPP),Applied genomics commercialization in Alberta (regional),Full proposals due May 2026 (exact date TBD),"$222,500",Yes — Canadian for-profit enterprise and Alberta-based researcher required,https://genomealberta.ca/funding/regional-genomic-applications-partnership-program-r-gapp/,,,,,,,,,,,,,,,,,,,,
"CIHR Early Career Researchers in Human Development, Child and Youth Health","Human development, child and youth health","Application deadline October 20, 2026","$150,000 total ($50,000/year for up to 3 years)",No,https://cihr-irsc.gc.ca/e/50244.html,,,,,,,,,,,,,,,,,,,,
"CIHR Analysis of Human Development, Child and Youth Health Data Using Existing Canadian Databases and Cohorts",Analysis using existing Canadian databases and cohorts in child/youth health,See current ResearchNet call; open in 2026,"$75,000",No,https://cihr-irsc.gc.ca/e/51717.html,,,,,,,,,,,,,,,,,,,,
SSHRC Partnership Engage Grants,Social sciences and humanities partnered research with a single non-academic organization,"June 15, September 15, and December 15, 2026
RAS Internal Review Deadline: June 8","$50,000","Yes — one partner organization required; partner may be public, private, or not-for-profit",https://sshrc-crsh.canada.ca/en/funding/opportunities/partnership-engage-grants.aspx,,,,,,,,,,,,,,,,,,,,
Distinguished Visitors Fund,Visits by widely recognized individuals or groups,"Business Faculty: 4 pm, May 20, 2026; VPR: May 31, 2026; send applications to Deanna Hoffman by 4 pm, May 20, 2026",Not specified,No,,,,,,,,,,,,,,,,,,,,,
Indigenous Engaged Research Grant,"Relationship-building with Indigenous communities for research development, conduct, and reporting",Small grants: year round; large grants: June 1 and December 1 each year,"Small grants up to $1,000; large grants up to $6,000",No industry partner required; Indigenous community relationship-building is central,,,,,,,,,,,,,,,,,,,,,
Catalyst Grants,Interdisciplinary and/or cross-sectoral partnership development and co-created knowledge sharing,"July 3, 2026 and November 6, 2026","Small grants $5,000–$15,000; large grants up to $50,000","Partner organization(s) expected; cross-sectoral, not necessarily industry",,,,,,,,,,,,,,,,,,,,,
Cornerstone Seed Grant,"Seed funding for new projects, pilot work, archival work, proof-of-concept, collaborations, and engagement","July 3, 2026 and November 6, 2026","Small grants $5,000–$10,000; large grants up to $30,000",No,,,,,,,,,,,,,,,,,,,,,
Knowledge Mobilization Grant,"Short-term, targeted events and outreach for knowledge mobilization","July 3, 2026 and November 6, 2026","$1,500–$10,000",No,,,,,,,,,,,,,,,,,,,,,
NSERC’s Alliance Quantum grants,Addressing challenges in quantum science,"Letter of intent: July 27, 2026
Full application: October 5, 2026","$100,000-$650,000 per year, for up to two years.

",Yes,https://nserc-crsng.canada.ca/en/funding-opportunity/alliance-quantum-grants-call-proposals-advancing-development-and-adoption#toc-tdm-300,,,,,,,,,,,,,,,,,,,,
Canadian Agri-Food Automation and Intelligence Network (CAAIN),Development of new innovations in agriculture and their adoption in the commercial space,"June 5, 2026; August 7, 2026; October 9, 2026",Up to $9M CAD,Yes - at least two small or medium enterprises (SME),https://caain.ca/funding-calls/2026-caain-open-competition/,,,,,,,,,,,,,,,,,,,,
Horizon Europe work programmes,,,,,"1. https://research-and-innovation.ec.europa.eu/funding/funding-opportunities/funding-programmes-and-open-calls/horizon-europe/horizon-europe-work-programmes_en 
2. https://horizoneuropencpportal.eu/sites/default/files/2026-01/ssh-opportunities_2026-27_final.pdf",,,,,,,,,,,,,,,,,,,,
SSHRC: Destination Horizon Grants,"Build capacity, foster existing partnerships, and further develop networks and/or consortia with European Union (EU) and other associated countries’ researchers, with the ultimate goal of applying to Horizon Europe—Pillar II calls for proposals.","May 22, 2026; September 22, 2026; January 22, 2027","Up to $15,000",No,https://sshrc-crsh.canada.ca/en/funding/opportunities/destination-horizon-grants/2026/competition.aspx,,,,,,,,,,,,,,,,,,,,
SSHRC: New Frontiers in Research Fund (NFRF) - Exploration,"To inspire high risk/ high reward research that extends beyond traditional or common interdisciplinary approaches.
To explore new projects that may fail but have the potential for significant impact.",,,No,"1. https://sshrc-crsh.canada.ca/funding-financement/nfrf-fnfr/exploration/exploration-eng.aspx
2. https://docs.google.com/spreadsheets/d/1Gko_5UdjPC5Rk5EfNszTrVmXd9cfEWda6lzT1DDS2rg/edit?gid=1186411245#gid=1186411245",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
